id,name,parent_id,color,label_tree_id,source_id,rank,scientificname,status,valid_AphiaID,valid_name,valid_rank
443113,Substrate,,f26f55,3270,,Arbitrary,,,,,
443114,Substrate_A,443113,f26f55,3270,,Arbitrary,,,,,
443115,Substrate_B,443113,f26f55,3270,,Arbitrary,,,,,
443116,Substrate_C,443113,f26f55,3270,,Arbitrary,,,,,
443117,Bedrock,443114,f26f55,3270,,Arbitrary,,,,,
443118,Boulders,443114,f26f55,3270,,Arbitrary,,,,,
443119,Cobbles,443114,f26f55,3270,,Arbitrary,,,,,
443120,Pebbles,443114,f26f55,3270,,Arbitrary,,,,,
443121,Gravel,443114,f26f55,3270,,Arbitrary,,,,,
443122,Sand,443114,f26f55,3270,,Arbitrary,,,,,
443123,Muddy sed,443114,f26f55,3270,,Arbitrary,,,,,
443124,Sulphidic sed.,443114,f26f55,3270,,Arbitrary,,,,,
443125,bacterial mat,443116,f26f55,3270,,Arbitrary,,,,,
443126,outcrop,443115,f26f55,3270,,Arbitrary,,,,,
443127,smooth,443115,f26f55,3270,,Arbitrary,,,,,
443128,irregular,443115,f26f55,3270,,Arbitrary,,,,,
443129,waves,443115,f26f55,3270,,Arbitrary,,,,,
443130,ripples,443115,f26f55,3270,,Arbitrary,,,,,
443131,flat,443115,f26f55,3270,,Arbitrary,,,,,
443132,mud overlay,443115,f26f55,3270,,Arbitrary,,,,,
443133,sand overlay,443115,f26f55,3270,,Arbitrary,,,,,
443134,cobble overlay,443115,f26f55,3270,,Arbitrary,,,,,
443135,Epifauna high,443116,f26f55,3270,,Arbitrary,,,,,
443136,Epifauna low,443116,f26f55,3270,,Arbitrary,,,,,
443137,Anthropogenic,,b830f2,3270,,Arbitrary,,,,,
443138,Trawl Marks,443137,b830f2,3270,,Arbitrary,,,,,
443139,Fishing gear,443137,b830f2,3270,,Arbitrary,,,,,
443140,Rubbish,443137,b830f2,3270,,Arbitrary,,,,,
443141,OBSCURED,443114,f26f55,3270,,Arbitrary,,,,,
443146,Biota,,30c8f2,3270,1,Superdomain,Biota,accepted,1,Biota,Superdomain
443147,Animalia,443146,30c8f2,3270,2,Kingdom,Animalia,accepted,2,Animalia,Kingdom
443148,Chordata,443147,30c8f2,3270,1821,Phylum,Chordata,accepted,1821,Chordata,Phylum
443149,Vertebrata,443148,30c8f2,3270,146419,Subphylum,Vertebrata,accepted,146419,Vertebrata,Subphylum
443150,Gnathostomata,443149,30c8f2,3270,1828,Infraphylum,Gnathostomata,accepted,1828,Gnathostomata,Infraphylum
